Date,Open,High,Low,Close,Adj Close,Volume
2022-05-24,279.820007,281.029999,273.049988,279.309998,274.879608,2088700
2022-05-25,278.329987,281.339996,275.239990,279.640015,275.204376,1812600
2022-05-26,282.440002,292.880005,281.109985,291.549988,286.925446,2742800
2022-05-27,293.440002,304.170013,293.440002,304.149994,299.325592,2759000
2022-05-31,302.399994,303.320007,296.700012,298.459991,293.725830,4143700
2022-06-01,304.130005,306.709991,297.380005,298.649994,293.912842,1784600
2022-06-02,299.959991,306.760010,297.880005,306.619995,301.756409,1318500
2022-06-03,302.299988,306.820007,301.920013,304.950012,300.112915,1714500
2022-06-06,310.000000,312.320007,303.769989,304.730011,299.896423,1401000
2022-06-07,300.429993,306.890015,300.410004,306.529999,301.667877,2311100
2022-06-08,305.000000,307.410004,301.730011,302.640015,297.839569,1428600
2022-06-09,300.649994,302.619995,294.750000,295.429993,290.743927,2497900
2022-06-10,290.890015,291.220001,285.980011,286.010010,281.473328,2169900
2022-06-13,276.660004,281.309998,274.859985,276.500000,272.114166,2414200
2022-06-14,274.649994,277.250000,272.609985,275.119995,270.756073,2052600
2022-06-15,276.980011,285.850006,276.100006,281.190002,276.729797,2536000
2022-06-16,275.350006,275.399994,269.089996,270.899994,266.602997,2741800
2022-06-17,272.609985,278.589996,270.929993,275.380005,271.011963,4446100
2022-06-21,278.149994,284.309998,277.670013,282.730011,278.245361,2550200
2022-06-22,279.089996,290.359985,279.089996,286.399994,281.857147,2939000
2022-06-23,276.000000,286.279999,275.000000,285.829987,281.296173,3482100
2022-06-24,285.410004,299.609985,284.970001,299.369995,294.621429,4647900
2022-06-27,298.940002,301.000000,291.640015,292.619995,287.978485,2107500
2022-06-28,293.089996,296.529999,283.489990,283.799988,279.298340,2167500
2022-06-29,278.420013,281.149994,275.250000,279.809998,275.371704,2405800
2022-06-30,277.329987,280.660004,275.320007,277.649994,273.245941,2562200
2022-07-01,277.579987,282.369995,276.279999,280.649994,276.198334,2400200
2022-07-05,276.279999,276.410004,269.679993,275.170013,270.805298,3181300
2022-07-06,277.959991,279.209991,274.959991,275.940002,271.563080,2260300
2022-07-07,277.260010,279.760010,274.410004,279.399994,274.968140,2169100
2022-07-08,277.649994,279.809998,275.179993,279.070007,274.643433,1987600
2022-07-11,276.769989,278.040009,273.320007,274.869995,270.510040,1850000
2022-07-12,274.600006,279.290009,272.440002,273.670013,269.329102,2280400
2022-07-13,268.200012,275.100006,267.329987,272.170013,268.805634,2185200
2022-07-14,268.510010,270.000000,261.769989,268.670013,265.348907,1877700
2022-07-15,272.100006,272.850006,266.859985,271.519989,268.163635,1741100
2022-07-18,273.000000,275.299988,267.989990,268.649994,265.329132,2048900
2022-07-19,272.390015,280.500000,271.739990,280.040009,276.578339,1942100
2022-07-20,280.000000,283.660004,279.450012,281.660004,278.178345,2158500
2022-07-21,281.179993,288.230011,280.760010,288.010010,284.449829,1546800
2022-07-22,287.500000,291.079987,285.799988,288.010010,284.449829,1502400
2022-07-25,288.239990,289.559998,285.450012,289.290009,285.713989,1354700
2022-07-26,287.910004,288.709991,283.660004,285.179993,281.654785,1710700
2022-07-27,288.839996,299.510010,287.950012,297.529999,293.852142,1821500
2022-07-28,296.980011,304.500000,294.769989,303.679993,299.926117,1845400
2022-07-29,304.529999,307.760010,302.920013,306.260010,302.474213,1868000
2022-08-01,302.529999,306.779999,301.040009,304.739990,300.972992,1425700
2022-08-02,302.380005,306.579987,299.410004,302.480011,298.740936,1772100
2022-08-03,302.079987,309.410004,301.619995,308.170013,304.360626,1359800
