Date,Open,High,Low,Close,Adj Close,Volume
2022-05-24,490.790009,498.079987,488.660004,497.559998,490.973480,2658100
2022-05-25,498.519989,502.309998,491.260010,498.089996,491.496490,3161600
2022-05-26,501.739990,507.260010,499.410004,502.230011,495.581696,2705800
2022-05-27,491.000000,507.109985,489.390015,507.109985,500.397064,3349100
2022-05-31,503.619995,504.109985,495.660004,496.779999,490.203827,4003100
2022-06-01,498.320007,501.380005,487.779999,492.549988,486.029816,1765900
2022-06-02,494.000000,496.149994,482.970001,492.260010,485.743683,2093500
2022-06-03,488.329987,491.670013,484.899994,485.609985,479.181702,1756900
2022-06-06,489.429993,493.630005,486.290009,490.179993,483.691223,1781500
2022-06-07,489.500000,497.609985,487.119995,497.100006,490.519592,2341900
2022-06-08,494.000000,497.899994,488.549988,493.529999,486.996857,3268100
2022-06-09,492.880005,496.459991,487.609985,489.429993,482.951141,3148800
2022-06-10,484.799988,490.160004,480.929993,484.630005,478.214691,2599900
2022-06-13,475.130005,481.339996,467.260010,469.700012,463.482300,3764600
2022-06-14,467.500000,469.179993,457.420013,461.750000,455.637543,3814200
2022-06-15,464.200012,469.019989,456.500000,464.329987,458.183380,2550700
2022-06-16,453.399994,457.809998,450.679993,456.089996,451.657471,3135600
2022-06-17,450.750000,461.459991,449.700012,452.059998,447.666595,5277400
2022-06-21,457.809998,485.119995,457.100006,480.320007,475.651978,5726800
2022-06-22,475.720001,495.920013,474.540009,489.679993,484.920990,5061000
2022-06-23,494.950012,503.579987,491.959991,499.809998,494.952545,4687700
2022-06-24,499.440002,499.760010,486.559998,495.640015,490.823090,15861100
2022-06-27,492.829987,511.890015,492.579987,505.660004,500.745697,3907100
2022-06-28,512.080017,518.609985,505.079987,508.440002,503.498688,4978200
2022-06-29,508.850006,518.700012,506.010010,515.710022,510.698059,3823400
2022-06-30,513.549988,516.320007,509.720001,513.630005,508.638214,3568900
2022-07-01,512.320007,517.530029,502.309998,517.400024,512.371582,2426600
2022-07-05,507.640015,511.000000,492.250000,505.239990,500.329773,3029600
2022-07-06,505.640015,517.409973,504.299988,515.289978,510.282043,2506700
2022-07-07,515.250000,517.299988,512.229980,514.380005,509.380951,2385400
2022-07-08,512.309998,528.369995,511.010010,518.630005,513.589600,3092100
2022-07-11,514.859985,521.469971,511.809998,516.950012,511.925995,1743600
