17.5,18.8125
train,test
tensor(84.7494, device='cuda:0'),tensor(82.3972, device='cuda:0')
tensor(83.9109, device='cuda:0'),tensor(81.4961, device='cuda:0')
tensor(84.1706, device='cuda:0'),tensor(80.4883, device='cuda:0')
tensor(83.8395, device='cuda:0'),tensor(82.5045, device='cuda:0')
tensor(82.4282, device='cuda:0'),tensor(79.1968, device='cuda:0')
tensor(83.8071, device='cuda:0'),tensor(83.4878, device='cuda:0')
tensor(84.6494, device='cuda:0'),tensor(85.0172, device='cuda:0')
tensor(82.7917, device='cuda:0'),tensor(80.7483, device='cuda:0')
tensor(80.6325, device='cuda:0'),tensor(82.5440, device='cuda:0')
tensor(81.6699, device='cuda:0'),tensor(82.0678, device='cuda:0')
tensor(83.5073, device='cuda:0'),tensor(81.8184, device='cuda:0')
tensor(81.1962, device='cuda:0'),tensor(83.2892, device='cuda:0')
tensor(85.9764, device='cuda:0'),tensor(81.8062, device='cuda:0')
tensor(81.3116, device='cuda:0'),tensor(85.7633, device='cuda:0')
tensor(79.9209, device='cuda:0'),tensor(80.5270, device='cuda:0')
tensor(83.4900, device='cuda:0'),tensor(82.6252, device='cuda:0')
tensor(81.2280, device='cuda:0'),tensor(80.7773, device='cuda:0')
tensor(79.3389, device='cuda:0'),tensor(82.3780, device='cuda:0')
tensor(81.6458, device='cuda:0'),tensor(82.6416, device='cuda:0')
tensor(81.2385, device='cuda:0'),tensor(80.3588, device='cuda:0')
tensor(83.8506, device='cuda:0'),tensor(80.9633, device='cuda:0')
tensor(77.1857, device='cuda:0'),tensor(80.4880, device='cuda:0')
tensor(79.5650, device='cuda:0'),tensor(81.3785, device='cuda:0')
tensor(79.7542, device='cuda:0'),tensor(80.6538, device='cuda:0')
tensor(83.2640, device='cuda:0'),tensor(85.2037, device='cuda:0')
tensor(82.1982, device='cuda:0'),tensor(81.4669, device='cuda:0')
tensor(85.1666, device='cuda:0'),tensor(81.5503, device='cuda:0')
tensor(82.0245, device='cuda:0'),tensor(84.1709, device='cuda:0')
tensor(86.3783, device='cuda:0'),tensor(80.6991, device='cuda:0')
tensor(78.5150, device='cuda:0'),tensor(82.5873, device='cuda:0')
tensor(82.5472, device='cuda:0'),tensor(84.2752, device='cuda:0')
tensor(85.6186, device='cuda:0'),tensor(83.8057, device='cuda:0')
tensor(84.2046, device='cuda:0'),tensor(83.3014, device='cuda:0')
tensor(84.8921, device='cuda:0'),tensor(84.4455, device='cuda:0')
tensor(82.1518, device='cuda:0'),tensor(88.1059, device='cuda:0')
tensor(82.2912, device='cuda:0'),tensor(79.5588, device='cuda:0')
tensor(83.0717, device='cuda:0'),tensor(81.6282, device='cuda:0')
tensor(84.9112, device='cuda:0'),tensor(78.0641, device='cuda:0')
tensor(78.4266, device='cuda:0'),tensor(81.6195, device='cuda:0')
tensor(82.3009, device='cuda:0'),tensor(82.0275, device='cuda:0')
tensor(81.3550, device='cuda:0'),tensor(83.0720, device='cuda:0')
tensor(77.9658, device='cuda:0'),tensor(79.9307, device='cuda:0')
tensor(81.1880, device='cuda:0'),tensor(82.6052, device='cuda:0')
tensor(83.0740, device='cuda:0'),tensor(77.0549, device='cuda:0')
tensor(84.2714, device='cuda:0'),tensor(87.2789, device='cuda:0')
tensor(82.0779, device='cuda:0'),tensor(83.8522, device='cuda:0')
tensor(83.5076, device='cuda:0'),tensor(83.5298, device='cuda:0')
tensor(84.0647, device='cuda:0'),tensor(82.3082, device='cuda:0')
tensor(80.0629, device='cuda:0'),tensor(80.5525, device='cuda:0')
tensor(81.0901, device='cuda:0'),tensor(81.3989, device='cuda:0')
tensor(81.7927, device='cuda:0'),tensor(82.3512, device='cuda:0')
tensor(82.5784, device='cuda:0'),tensor(81.4825, device='cuda:0')
tensor(85.4470, device='cuda:0'),tensor(82.6789, device='cuda:0')
tensor(77.1067, device='cuda:0'),tensor(85.5772, device='cuda:0')
tensor(80.9743, device='cuda:0'),tensor(83.4041, device='cuda:0')
tensor(82.0497, device='cuda:0'),tensor(79.4152, device='cuda:0')
tensor(87.6058, device='cuda:0'),tensor(81.8494, device='cuda:0')
tensor(88.3696, device='cuda:0'),tensor(82.3404, device='cuda:0')
tensor(81.4632, device='cuda:0'),tensor(79.5436, device='cuda:0')
tensor(80.2560, device='cuda:0'),tensor(82.3473, device='cuda:0')
tensor(82.1923, device='cuda:0'),tensor(80.5023, device='cuda:0')
tensor(83.1842, device='cuda:0'),tensor(81.6885, device='cuda:0')
tensor(82.5511, device='cuda:0'),tensor(81.2365, device='cuda:0')
tensor(81.0558, device='cuda:0'),tensor(80.6635, device='cuda:0')
tensor(84.0944, device='cuda:0'),tensor(78.2847, device='cuda:0')
tensor(80.8826, device='cuda:0'),tensor(82.0678, device='cuda:0')
tensor(83.7127, device='cuda:0'),tensor(77.4840, device='cuda:0')
tensor(81.6730, device='cuda:0'),tensor(83.6345, device='cuda:0')
tensor(82.1997, device='cuda:0'),tensor(83.1707, device='cuda:0')
tensor(80.9013, device='cuda:0'),tensor(84.9199, device='cuda:0')
tensor(82.7154, device='cuda:0'),tensor(83.9433, device='cuda:0')
tensor(83.5422, device='cuda:0'),tensor(80.7467, device='cuda:0')
tensor(80.3009, device='cuda:0'),tensor(82.0265, device='cuda:0')
tensor(83.9924, device='cuda:0'),tensor(81.6741, device='cuda:0')
tensor(83.2345, device='cuda:0'),tensor(87.1352, device='cuda:0')
tensor(81.2036, device='cuda:0'),tensor(82.2813, device='cuda:0')
tensor(81.3085, device='cuda:0'),tensor(83.2007, device='cuda:0')
tensor(80.7891, device='cuda:0'),tensor(83.4112, device='cuda:0')
tensor(83.2023, device='cuda:0'),tensor(77.6650, device='cuda:0')
